73, Not in universe, 0, 0, High school graduate, 0, Not in universe, Widowed, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Not in labor force, 0, 0, 0, Nonfiler, Not in universe, Not in universe, Other Rel 18+ ever marr not in subfamily, Other relative of householder, 1700.09, 0, 0, 0, Not in universe under 1 year old, 0, 0, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 0, 95, - 50000.
32, Not in universe, 0, 0, High school graduate, 0, Not in universe, Never married, Not in universe or children, Not in universe, Black, All other, Female, Not in universe, Not in universe, Not in labor force, 0, 0, 0, Nonfiler, Not in universe, Not in universe, Other Rel 18+ never marr not in subfamily, Other relative of householder, 2021.27, 0, 0, 0, Not in universe under 1 year old, 0, 0, Not in universe, 0, 0, 0, Foreign born- Not a citizen of U S , 0, Not in universe, 2, 0, 95, - 50000.
51, Private, 4, 34, Some college but no degree, 0, Not in universe, Married-civilian spouse present, Construction, Precision production craft & repair, White, Do not know, Male, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Joint both under 65, Not in universe, Not in universe, Householder, Householder, 2441.22, Nonmover, Nonmover, Nonmover, Yes, Not in universe, 3, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 52, 94, - 50000.
46, Private, 37, 31, High school graduate, 0, Not in universe, Divorced, Business and repair services, Other service, White, Central or South American, Female, Not in universe, Not in universe, Children or Armed Forces, 0, 1590, 0, Single, Not in universe, Not in universe, Householder, Householder, 978.16, Nonmover, Nonmover, Nonmover, Yes, Not in universe, 6, Not in universe, Columbia, Columbia, Columbia, Foreign born- Not a citizen of U S , 0, Not in universe, 2, 52, 94, - 50000.
26, Private, 24, 12, Bachelors degree(BA AB BS), 0, Not in universe, Never married, Manufacturing-nondurable goods, Professional specialty, White, All other, Female, Not in universe, Not in universe, Full-time schedules, 0, 0, 0, Single, Not in universe, Not in universe, Nonfamily householder, Householder, 2604.91, 0, 0, 0, Not in universe under 1 year old, 0, 6, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 52, 95, - 50000.
13, Not in universe, 0, 0, Children, 0, Not in universe, Never married, Not in universe or children, Not in universe, Black, All other, Female, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married, 1520.08, Nonmover, Nonmover, Nonmover, Yes, Not in universe, 0, Both parents present, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 0, 0, 94, - 50000.
47, Private, 39, 36, Bachelors degree(BA AB BS), 0, Not in universe, Never married, Personal services except private HH, Machine operators assmblrs & inspctrs, White, All other, Female, Not in universe, Not in universe, Full-time schedules, 0, 0, 0, Single, Not in universe, Not in universe, Nonfamily householder, Householder, 404.9, 0, 0, 0, Not in universe under 1 year old, 0, 6, Not in universe, Germany, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 52, 95, - 50000.
39, Not in universe, 0, 0, 10th grade, 0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, Mexican (Mexicano), Female, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder, 1274.04, Nonmover, Nonmover, Nonmover, Yes, Not in universe, 0, Not in universe, Mexico, Mexico, Mexico, Foreign born- Not a citizen of U S , 0, Not in universe, 2, 0, 94, - 50000.
16, Not in universe, 0, 0, 10th grade, 0, High school, Never married, Not in universe or children, Not in universe, White, Mexican-American, Female, Not in universe, Not in universe, Not in labor force, 0, 0, 0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married, 1555.29, 0, 0, 0, Not in universe under 1 year old, 0, 0, Both parents present, United-States, El-Salvador, United-States, Native- Born in the United States, 0, Not in universe, 2, 0, 95, - 50000.
35, Private, 12, 41, High school graduate, 0, Not in universe, Married-civilian spouse present, Manufacturing-durable goods, Handlers equip cleaners etc , White, All other, Male, Not in universe, Not in universe, Full-time schedules, 0, 0, 6000, Joint both under 65, Not in universe, Not in universe, Householder, Householder, 1790.75, 0, 0, 0, Not in universe under 1 year old, 0, 4, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 49, 95, - 50000.
12, Not in universe, 0, 0, Children, 0, Not in universe, Never married, Not in universe or children, Not in universe, Other, Mexican-American, Male, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Nonfiler, South, Utah, Child <18 never marr not in subfamily, Child under 18 never married, 455.02, MSA to MSA, Different region, Different state in South, No, Yes, 0, Both parents present, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 0, 0, 94, - 50000.
27, Self-employed-not incorporated, 4, 34, Some college but no degree, 0, Not in universe, Married-civilian spouse present, Construction, Precision production craft & repair, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Joint both under 65, Not in universe, Not in universe, Householder, Householder, 1004.69, Nonmover, Nonmover, Nonmover, Yes, Not in universe, 6, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 1, Not in universe, 2, 52, 94, - 50000.
56, Private, 35, 22, Some college but no degree, 500, Not in universe, Married-civilian spouse present, Finance insurance and real estate, Adm support including clerical, White, All other, Female, No, Not in universe, Full-time schedules, 0, 0, 0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder, 1500.08, 0, 0, 0, Not in universe under 1 year old, 0, 2, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 2, Not in universe, 2, 32, 95, - 50000.
46, Private, 45, 12, Masters degree(MA MS MEng MEd MSW MBA), 0, Not in universe, Married-civilian spouse present, Other professional services, Professional specialty, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces, 0, 1977, 100, Joint both under 65, Not in universe, Not in universe, Householder, Householder, 999.46, Nonmover, Nonmover, Nonmover, Yes, Not in universe, 1, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 52, 94, - 50000.
55, Not in universe, 0, 0, Some college but no degree, 0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, Asian or Pacific Islander, All other, Female, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Joint both under 65, Not in universe, Not in universe, Householder, Householder, 1483.69, Nonmover, Nonmover, Nonmover, Yes, Not in universe, 0, Not in universe, Japan, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 0, 94, - 50000.
2, Not in universe, 0, 0, Children, 0, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married, 1660.53, Nonmover, Nonmover, Nonmover, Yes, Not in universe, 0, Both parents present, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 0, 0, 94, - 50000.
1, Not in universe, 0, 0, Children, 0, Not in universe, Never married, Not in universe or children, Not in universe, Other, Central or South American, Female, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Nonfiler, Northeast, Michigan, Child <18 never marr not in subfamily, Child under 18 never married, 848.25, MSA to MSA, Different county same state, Different county same state, No, No, 0, Mother only present, 0, 0, United-States, Native- Born in the United States, 0, Not in universe, 0, 0, 94, - 50000.
37, Private, 3, 34, Some college but no degree, 0, Not in universe, Married-civilian spouse present, Mining, Precision production craft & repair, White, All other, Male, Not in universe, Not in universe, Full-time schedules, 0, 0, 0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder, 2671.99, 0, 0, 0, Not in universe under 1 year old, 0, 3, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 52, 95, - 50000.
4, Not in universe, 0, 0, Children, 0, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married, 1188.42, 0, 0, 0, Not in universe under 1 year old, 0, 0, Both parents present, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 0, 0, 95, - 50000.
37, Private, 4, 2, Bachelors degree(BA AB BS), 0, Not in universe, Never married, Construction, Executive admin and managerial, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces, 0, 1669, 700, Single, Not in universe, Not in universe, Secondary individual, Nonrelative of householder, 1331.35, Nonmover, Nonmover, Nonmover, Yes, Not in universe, 6, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 52, 94, - 50000.
63, Private, 19, 35, Less than 1st grade, 0, Not in universe, Married-civilian spouse present, Manufacturing-nondurable goods, Precision production craft & repair, Other, Mexican (Mexicano), Male, Not in universe, Job loser - on layoff, Unemployed full-time, 0, 0, 0, Joint both under 65, Not in universe, Not in universe, Householder, Householder, 711.15, 0, 0, 0, Not in universe under 1 year old, 0, 6, Not in universe, Mexico, Mexico, Mexico, Foreign born- Not a citizen of U S , 0, Not in universe, 2, 15, 95, - 50000.
34, Federal government, 29, 25, Some college but no degree, 0, Not in universe, Married-civilian spouse present, Transportation, Adm support including clerical, White, All other, Female, Not in universe, Not in universe, Unemployed part- time, 0, 0, 0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder, 1578.65, 0, 0, 0, Not in universe under 1 year old, 0, 6, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 52, 95, - 50000.
46, Self-employed-not incorporated, 4, 34, Some college but no degree, 0, Not in universe, Married-civilian spouse present, Construction, Precision production craft & repair, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Joint both under 65, Not in universe, Not in universe, Householder, Householder, 1629.02, Nonmover, Nonmover, Nonmover, Yes, Not in universe, 1, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 52, 94, - 50000.
25, Private, 45, 23, High school graduate, 0, Not in universe, Never married, Other professional services, Adm support including clerical, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Single, Not in universe, Not in universe, Child 18+ never marr Not in a subfamily, Child 18 or older, 1998.03, Nonmover, Nonmover, Nonmover, Yes, Not in universe, 1, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 52, 94, - 50000.
81, Not in universe, 0, 0, Bachelors degree(BA AB BS), 0, Not in universe, Widowed, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces, 991, 0, 0, Single, Not in universe, Not in universe, Nonfamily householder, Householder, 463.55, Nonmover, Nonmover, Nonmover, Yes, Not in universe, 0, Not in universe, 0, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 0, 94, - 50000.
46, Private, 32, 42, High school graduate, 0, Not in universe, Separated, Wholesale trade, Handlers equip cleaners etc , White, Central or South American, Female, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Single, Not in universe, Not in universe, Householder, Householder, 2492.74, Nonmover, Nonmover, Nonmover, Yes, Not in universe, 3, Not in universe, Peru, Peru, Peru, Foreign born- Not a citizen of U S , 0, Not in universe, 2, 52, 94, - 50000.
39, Private, 34, 2, Bachelors degree(BA AB BS), 0, Not in universe, Married-civilian spouse present, Finance insurance and real estate, Executive admin and managerial, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 1000, Joint both under 65, Not in universe, Not in universe, Householder, Householder, 980.1, Nonmover, Nonmover, Nonmover, Yes, Not in universe, 6, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 52, 94, - 50000.
42, Federal government, 48, 8, Associates degree-academic program, 0, Not in universe, Married-civilian spouse present, Public administration, Professional specialty, White, All other, Male, Not in universe, Not in universe, PT for non-econ reasons usually FT, 0, 0, 49, Joint both under 65, Not in universe, Not in universe, Householder, Householder, 1539.4, 0, 0, 0, Not in universe under 1 year old, 0, 6, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 52, 95, - 50000.
2, Not in universe, 0, 0, Children, 0, Not in universe, Never married, Not in universe or children, Not in universe, Black, All other, Male, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Nonfiler, Not in universe, Not in universe, Grandchild <18 never marr not in subfamily, Other relative of householder, 2621.94, 0, 0, 0, Not in universe under 1 year old, 0, 0, Neither parent present, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 0, 0, 95, - 50000.
11, Not in universe, 0, 0, Children, 0, Not in universe, Never married, Not in universe or children, Not in universe, White, Mexican-American, Female, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married, 498.25, Nonmover, Nonmover, Nonmover, Yes, Not in universe, 0, Mother only present, Mexico, Mexico, United-States, Native- Born in the United States, 0, Not in universe, 0, 0, 94, - 50000.
30, Not in universe, 0, 0, High school graduate, 0, Not in universe, Never married, Not in universe or children, Not in universe, Black, All other, Female, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Nonfiler, Midwest, Minnesota, Householder, Householder, 1773.08, MSA to MSA, Same county, Same county, No, No, 0, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 0, 94, - 50000.
7, Not in universe, 0, 0, Children, 0, Not in universe, Never married, Not in universe or children, Not in universe, White, Other Spanish, Male, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married, 885.84, Nonmover, Nonmover, Nonmover, Yes, Not in universe, 0, Both parents present, Dominican-Republic, Puerto-Rico, United-States, Native- Born in the United States, 0, Not in universe, 0, 0, 94, - 50000.
66, Self-employed-not incorporated, 33, 19, 7th and 8th grade, 0, Not in universe, Married-civilian spouse present, Retail trade, Sales, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Joint both 65+, Not in universe, Not in universe, Spouse of householder, Spouse of householder, 4183.26, Nonmover, Nonmover, Nonmover, Yes, Not in universe, 1, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 38, 94, - 50000.
26, Not in universe, 0, 0, High school graduate, 0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, Mexican-American, Female, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder, 1040.15, Nonmover, Nonmover, Nonmover, Yes, Not in universe, 0, Not in universe, Mexico, Mexico, Mexico, Foreign born- Not a citizen of U S , 0, Not in universe, 2, 0, 94, - 50000.
84, Not in universe, 0, 0, High school graduate, 0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Not in labor force, 0, 0, 0, Joint both 65+, Not in universe, Not in universe, Spouse of householder, Spouse of householder, 3494.72, 0, 0, 0, Not in universe under 1 year old, 0, 0, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 0, 95, - 50000.
32, Private, 33, 29, High school graduate, 0, Not in universe, Never married, Retail trade, Other service, White, All other, Female, Not in universe, Not in universe, Full-time schedules, 0, 0, 59, Head of household, Not in universe, Not in universe, Householder, Householder, 1130.25, 0, 0, 0, Not in universe under 1 year old, 0, 6, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 52, 95, - 50000.
52, Not in universe, 0, 0, High school graduate, 0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder, 1407.39, Nonmover, Nonmover, Nonmover, Yes, Not in universe, 0, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 0, 94, - 50000.
5, Not in universe, 0, 0, Children, 0, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Nonfiler, West, Alaska, Child <18 never marr not in subfamily, Child under 18 never married, 235.92, MSA to MSA, Same county, Same county, No, No, 0, Mother only present, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 0, 0, 94, - 50000.
35, Not in universe, 0, 0, High school graduate, 0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder, 1669.47, Nonmover, Nonmover, Nonmover, Yes, Not in universe, 0, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 0, 94, - 50000.
66, Private, 37, 36, Some college but no degree, 400, Not in universe, Married-civilian spouse present, Business and repair services, Machine operators assmblrs & inspctrs, White, All other, Male, No, Not in universe, Full-time schedules, 0, 0, 0, Joint both 65+, Not in universe, Not in universe, Householder, Householder, 1212.48, 0, 0, 0, Not in universe under 1 year old, 0, 2, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 52, 95, - 50000.
47, Not in universe, 0, 0, High school graduate, 0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Not in labor force, 0, 0, 0, Joint both under 65, Not in universe, Not in universe, Householder, Householder, 3745.71, 0, 0, 0, Not in universe under 1 year old, 0, 0, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 0, 95, - 50000.
36, Private, 33, 34, High school graduate, 0, Not in universe, Married-civilian spouse present, Retail trade, Precision production craft & repair, White, All other, Male, No, Not in universe, Children or Armed Forces, 0, 0, 0, Joint both under 65, Midwest, Kansas, Householder, Householder, 1812, NonMSA to nonMSA, Same county, Same county, No, No, 3, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 48, 94, - 50000.
37, Private, 23, 26, High school graduate, 0, Not in universe, Married-civilian spouse present, Manufacturing-nondurable goods, Adm support including clerical, White, All other, Male, Not in universe, Not in universe, Full-time schedules, 2829, 0, 0, Joint both under 65, Not in universe, Not in universe, Householder, Householder, 1027.68, 0, 0, 0, Not in universe under 1 year old, 0, 6, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 52, 95, - 50000.
42, Private, 44, 10, Bachelors degree(BA AB BS), 0, Not in universe, Married-civilian spouse present, Social services, Professional specialty, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder, 2635.89, Nonmover, Nonmover, Nonmover, Yes, Not in universe, 6, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 52, 94, - 50000.
42, Not in universe, 0, 0, High school graduate, 0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, Puerto Rican, Female, Not in universe, Not in universe, Not in labor force, 0, 0, 0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder, 1293.12, 0, 0, 0, Not in universe under 1 year old, 0, 0, Not in universe, 0, 0, United-States, Native- Born in the United States, 0, Not in universe, 2, 0, 95, - 50000.
1, Not in universe, 0, 0, Children, 0, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Nonfiler, Not in universe, Not in universe, Grandchild <18 never marr child of subfamily RP, Other relative of householder, 1558.21, Nonmover, Nonmover, Nonmover, Yes, Not in universe, 0, Mother only present, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 0, 0, 94, - 50000.
72, Not in universe, 0, 0, Bachelors degree(BA AB BS), 0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 50, Joint both 65+, Not in universe, Not in universe, Spouse of householder, Spouse of householder, 1841.65, Nonmover, Nonmover, Nonmover, Yes, Not in universe, 0, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 0, 94, - 50000.
42, Self-employed-incorporated, 37, 2, Some college but no degree, 0, Not in universe, Married-civilian spouse present, Business and repair services, Executive admin and managerial, White, All other, Male, Not in universe, Not in universe, Full-time schedules, 0, 0, 0, Joint both under 65, Not in universe, Not in universe, Householder, Householder, 949.12, 0, 0, 0, Not in universe under 1 year old, 0, 2, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 52, 95, 50000+.
61, Private, 36, 27, High school graduate, 0, Not in universe, Separated, Private household services, Private household services, Amer Indian Aleut or Eskimo, All other, Female, Not in universe, Not in universe, Full-time schedules, 0, 0, 0, Single, Not in universe, Not in universe, Nonfamily householder, Householder, 869.67, 0, 0, 0, Not in universe under 1 year old, 0, 1, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, No, 1, 9, 95, - 50000.
41, Private, 12, 35, Associates degree-academic program, 0, Not in universe, Married-civilian spouse present, Manufacturing-durable goods, Precision production craft & repair, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder, 1095.21, Nonmover, Nonmover, Nonmover, Yes, Not in universe, 1, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 2, Not in universe, 2, 24, 94, - 50000.
90, Not in universe, 0, 0, 7th and 8th grade, 0, Not in universe, Widowed, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces, 0, 0, 0, Nonfiler, Not in universe, Not in universe, Householder, Householder, 3666.39, Nonmover, Nonmover, Nonmover, Yes, Not in universe, 0, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 0, 94, - 50000.
39, Private, 32, 16, Bachelors degree(BA AB BS), 0, Not in universe, Married-civilian spouse present, Wholesale trade, Sales, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces, 3464, 0, 0, Joint both under 65, Not in universe, Not in universe, Householder, Householder, 1322.1, Nonmover, Nonmover, Nonmover, Yes, Not in universe, 4, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 52, 94, - 50000.
49, Self-employed-incorporated, 24, 2, Bachelors degree(BA AB BS), 0, Not in universe, Divorced, Manufacturing-nondurable goods, Executive admin and managerial, White, All other, Female, Not in universe, Not in universe, Full-time schedules, 0, 1719, 0, Single, Not in universe, Not in universe, Nonfamily householder, Householder, 946.47, 0, 0, 0, Not in universe under 1 year old, 0, 1, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 50, 95, - 50000.
25, Private, 4, 34, High school graduate, 0, Not in universe, Married-spouse absent, Construction, Precision production craft & repair, White, All other, Male, Not in universe, Not in universe, Full-time schedules, 0, 0, 0, Single, Not in universe, Not in universe, Child 18+ ever marr Not in a subfamily, Child 18 or older, 3504.66, 0, 0, 0, Not in universe under 1 year old, 0, 2, Not in universe, United-States, United-States, United-States, Native- Born in the United States, 0, Not in universe, 2, 10, 95, - 50000.
